Year,name,Label
2009,So Far Gone ,Label: October's Very Own / Cash Money / Young Money 
2010,Thank Me Later ,Label: Cash Money 
2011,Take Care ,Label: Cash Money 
2013,Nothing Was the Same ,Label: Cash Money 
2015,If You're Reading This It's Too Late ,Label: Cash Money 
2015,What a Time to Be Alive ,Label: Cash Money 
2016,Live at Jazzwerkstatt Peitz ,Label: Jazzwerkstatt 
2016,Views ,Label: Cash Money 
2017,More Life ,Label: Cash Money / Island / Universal / Young Money 
2018,Scorpion ,Label: Republic 
2021,Certified Lover Boy ,Label: OVO Sound / Republic 
2022,Honestly, Nevermind ,Label: OVO Sound 
2022,Her Loss ,Label: OVO Sound 
